Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,ManageStaff,DatabaseServers,PopulationOfLargestCityWithin20Miles,Gender,SalaryUSD
United States,Microsoft SQL Server,5,Full time employee,No,2,100K-299K (city),Male,98000
Canada,Microsoft SQL Server,7,Full time employee,No,1,1M+ (metropolis),Male,100000
United States,PostgreSQL,2,Full time employee,No,1,100K-299K (city),Male,62000
United States,Oracle,2,Full time employee,No,4,100K-299K (city),Male,68000
United States,Microsoft SQL Server,2,Full time employee,No,1,1M+ (metropolis),Male,117000
United States,Microsoft SQL Server,6,Full time employee,No,20,300K-1M (large city),Female,82500
United States,Microsoft SQL Server,20,Full time employee,No,40,300K-1M (large city),Male,130000
United States,Microsoft SQL Server,1,Full time employee,No,1,300K-1M (large city),Female,50000
Canada,Other,2,Full time employee,No,10,1M+ (metropolis),Male,66660
United States,Microsoft SQL Server,4,Full time employee,Yes,6,300K-1M (large city),Female,105000
United States,MySQL/MariaDB,1,Full time employee,No,3,300K-1M (large city),Male,30000
United States,DB2,15,Full time employee,No,2,1M+ (metropolis),Male,97500
United States,Microsoft SQL Server,6,"Independent consultant, contractor, freelancer,  or company owner",No,2,300K-1M (large city),Male,230000
United States,Other,3,Full time employee,Yes,3,100K-299K (city),Non-binary/third gender,54000
United States,Microsoft SQL Server,20,Full time employee,Yes,19,1M+ (metropolis),Female,165000
United States,PostgreSQL,8,Full time employee,Yes,2,1M+ (metropolis),Male,145000
United States,Microsoft SQL Server,10,Full time employee,Yes,65,1M+ (metropolis),Male,115000
United States,Microsoft SQL Server,3,Full time employee,No,5,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,8,Full time employee,No,20,1M+ (metropolis),Male,102990
United States,Microsoft SQL Server,16,Full time employee,No,32,300K-1M (large city),Male,135000
United States,Microsoft SQL Server,1,Full time employee,No,2,100K-299K (city),Male,47000
United States,Microsoft SQL Server,8,Full time employee,Yes,6,1M+ (metropolis),Male,155000
United States,Microsoft SQL Server,3,Full time employee,No,1,300K-1M (large city),Male,95000
Australia,Other,1,Full time employee,No,3,1M+ (metropolis),Male,49000
United States,Microsoft SQL Server,8,Full time employee,Yes,10,300K-1M (large city),Male,101000
United States,Microsoft SQL Server,7,Full time employee,No,8,1M+ (metropolis),Male,83000
United States,Microsoft SQL Server,13,Full time employee,No,10,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,10,Full time employee,Yes,5,300K-1M (large city),Male,125000
United States,Amazon RDS (any flavor),0,Full time employee,No,4,300K-1M (large city),Male,57000
United States,Microsoft SQL Server,2,Full time employee,No,2,1M+ (metropolis),Male,68000
United States,Microsoft SQL Server,4,Full time employee,No,6,100K-299K (city),Male,105000
United States,Microsoft SQL Server,13,Full time employee,No,7,100K-299K (city),Male,80000
United States,Microsoft SQL Server,2,Full time employee,No,3,300K-1M (large city),Male,95000
United States,Microsoft SQL Server,6,Full time employee,No,2,1M+ (metropolis),Male,100000
United States,Amazon RDS (any flavor),3,Full time employee,Yes,0,1M+ (metropolis),Male,150000
United States,Oracle,10,Full time employee,No,3,300K-1M (large city),Female,93500
United States,Other,10,Full time employee,No,3,1M+ (metropolis),Male,91000
United States,Microsoft SQL Server,1,Full time employee,No,2,300K-1M (large city),Female,77500
United States,Microsoft SQL Server,2,Full time employee,No,136,1M+ (metropolis),Male,50000
United States,Other,4,Full time employee,Yes,3,1M+ (metropolis),Male,125000
United States,Microsoft SQL Server,5,Full time employee,No,3,300K-1M (large city),Male,92000
United States,Microsoft Access,1,Full time employee,No,1,20K-99K (large town),Male,55000
United States,Microsoft SQL Server,3,Full time employee,Yes,3,100K-299K (city),Male,58000
United States,Oracle,2,Full time employee,No,5,300K-1M (large city),Male,67000
United States,Microsoft SQL Server,6,Full time employee,Yes,15,1M+ (metropolis),Male,105000
United States,Microsoft SQL Server,1,Full time employee,No,2,1M+ (metropolis),Male,55000
United States,Microsoft SQL Server,1,Full time employee,No,4,1M+ (metropolis),Female,60600
United States,Microsoft SQL Server,4,Full time employee,No,5,1M+ (metropolis),Male,144000
United States,Oracle,11,Full time employee,No,15,300K-1M (large city),Male,91000
United States,Microsoft SQL Server,2,Full time employee,No,8,100K-299K (city),Male,70000
United States,Other,2,Full time employee,No,5,300K-1M (large city),Male,109000
United Kingdom,Microsoft SQL Server,6,Full time employee,No,6,1M+ (metropolis),Male,60000
United States,Oracle,2,Full time employee,No,5,100K-299K (city),Male,64000
United States,MySQL/MariaDB,2,Full time employee,No,1,1M+ (metropolis),Male,135000
United States,Microsoft SQL Server,20,Full time employee,No,150,100K-299K (city),Male,97000
United States,Microsoft SQL Server,9,Full time employee,No,80,300K-1M (large city),Male,62000
United States,Microsoft SQL Server,4,Full time employee,No,4,1M+ (metropolis),Male,54000
United States,Microsoft SQL Server,7,Full time employee,Yes,3,20K-99K (large town),Male,75000
United States,Microsoft SQL Server,1,Full time employee,No,61,20K-99K (large town),Male,55000
Australia,PostgreSQL,1,Full time employee,No,8,"<= 20,000 (town)",Prefer not to say,56000
United States,Oracle,5,Full time employee,No,30,1M+ (metropolis),Male,111000
United States,Microsoft SQL Server,13,Full time employee,No,50,1M+ (metropolis),Male,120000
Canada,MySQL/MariaDB,5,Full time employee,No,2,300K-1M (large city),Male,53580
United States,Oracle,8,Full time employee,No,5,300K-1M (large city),Male,66000
United States,Microsoft SQL Server,3,Full time employee,No,3,300K-1M (large city),Male,57000
United States,Microsoft SQL Server,2,Full time employee,No,6,1M+ (metropolis),Female,63000
United States,Microsoft SQL Server,1,Full time employee,No,1,100K-299K (city),Male,50000
United Kingdom,Oracle,1,Full time employee,No,1,100K-299K (city),Male,33000
United States,Microsoft SQL Server,3,Full time employee,Yes,3,100K-299K (city),Male,72000
United States,Microsoft SQL Server,6,Full time employee,No,250,300K-1M (large city),Male,80000
United States,Microsoft SQL Server,3,Full time employee,No,2,1M+ (metropolis),Male,73000
Canada,Microsoft SQL Server,0,Full time employee,No,2,1M+ (metropolis),Male,60000
United States,Azure SQL DB,1,Full time employee,No,100,1M+ (metropolis),Male,58000
United States,Microsoft SQL Server,5,Full time employee,Yes,4,1M+ (metropolis),Male,110400
United States,Microsoft SQL Server,1,Full time employee,Yes,255,100K-299K (city),Male,62000
United Kingdom,Microsoft SQL Server,3,Full time employee,No,1,20K-99K (large town),Male,31000
United States,Microsoft SQL Server,8,Full time employee,No,15,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,10,Full time employee,No,4,1M+ (metropolis),Male,87000
United States,MySQL/MariaDB,3,Full time employee,No,7,20K-99K (large town),Male,68000
United States,Amazon RDS (any flavor),1,Full time employee,No,5,1M+ (metropolis),Male,145000
United States,Microsoft SQL Server,20,Full time employee,Yes,46,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,2,Full time employee,No,15,300K-1M (large city),Male,71500
United States,Oracle,10,Full time employee,No,2,1M+ (metropolis),Male,80000
United States,Microsoft SQL Server,2,Full time employee,No,15,300K-1M (large city),Male,71500
United States,Oracle,5,Full time employee,No,6,100K-299K (city),Male,82000
United States,Other,1,Full time employee,No,2,1M+ (metropolis),Male,75000
United States,Oracle,6,Full time employee,No,3,1M+ (metropolis),Female,140000
New Zealand,Microsoft SQL Server,1,Full time employee,No,8,100K-299K (city),Prefer not to say,54000
United States,Microsoft SQL Server,7,Full time employee of a consulting/contracting company,No,20,300K-1M (large city),Male,105000
United States,Microsoft SQL Server,7,Full time employee,No,1,100K-299K (city),Male,90000
United Kingdom,Microsoft SQL Server,7,Full time employee,No,500,1M+ (metropolis),Male,60000
United States,Microsoft SQL Server,4,Full time employee,No,100,1M+ (metropolis),Male,103000
Australia,Microsoft SQL Server,10,Full time employee,Yes,8700,1M+ (metropolis),Male,101.44
United States,Microsoft SQL Server,5,Full time employee,No,4,20K-99K (large town),Male,65000
United States,Microsoft SQL Server,17,Full time employee,No,1000,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,15,Full time employee,No,3,1M+ (metropolis),Male,98000
United States,Microsoft SQL Server,26,Full time employee,No,100,300K-1M (large city),Male,165000
United States,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,No,2,300K-1M (large city),Male,120000
United States,Oracle,15,Full time employee,No,1,300K-1M (large city),Male,97500
United Kingdom,Microsoft SQL Server,1,Full time employee,Yes,8,1M+ (metropolis),Male,65000
United States,PostgreSQL,1,Full time employee,No,2,300K-1M (large city),Male,40000
United States,PostgreSQL,8,Full time employee,Yes,0,300K-1M (large city),Male,142000
United States,Oracle,3,Full time employee,No,2,300K-1M (large city),Male,75000
Anguilla,MySQL/MariaDB,1,"Independent consultant, contractor, freelancer,  or company owner",No,1,300K-1M (large city),Prefer not to say,1
United States,Microsoft SQL Server,6,Full time employee,No,5,1M+ (metropolis),Male,130000
United States,Microsoft SQL Server,2,Full time employee,No,20,1M+ (metropolis),Male,60000
United States,Microsoft SQL Server,15,Full time employee,Yes,10,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,3,Full time employee,No,2,300K-1M (large city),Female,81000
United States,Microsoft SQL Server,3,Full time employee,No,2,300K-1M (large city),Female,81000
United States,Oracle,3,Full time employee,No,10,20K-99K (large town),Male,88500
Netherlands,Microsoft SQL Server,1,Full time employee,No,1,100K-299K (city),Male,42000
United States,Microsoft SQL Server,10,Full time employee,No,20,300K-1M (large city),Female,95000
United States,Oracle,7,Full time employee,No,5,1M+ (metropolis),Male,125800
United States,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,No,3,300K-1M (large city),Male,55000
United States,Microsoft SQL Server,4,Full time employee,No,50,100K-299K (city),mosquito ,105000
United States,Microsoft SQL Server,5,Full time employee,No,10,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,4,Full time employee,No,4,1M+ (metropolis),Female,116000
United States,Microsoft SQL Server,5,Full time employee,No,3,100K-299K (city),Female,80000
United States,Microsoft SQL Server,19,Full time employee,Yes,20,1M+ (metropolis),Female,145500
United States,PostgreSQL,15,Full time employee,No,8,20K-99K (large town),Male,100000
United States,Oracle,7,Full time employee,No,300,20K-99K (large town),Male,106500
United States,Microsoft SQL Server,1,Full time employee,No,3,300K-1M (large city),Male,60000
United States,Microsoft SQL Server,1,Full time employee,No,3,300K-1M (large city),Male,60000
Austria,PostgreSQL,5,Full time employee,Yes,3,1M+ (metropolis),Male,90000
United States,Microsoft SQL Server,4,Full time employee,No,6,300K-1M (large city),Male,74000
United States,Microsoft SQL Server,2,Full time employee,No,330,300K-1M (large city),Male,80000
United Kingdom,Microsoft SQL Server,7,Full time employee,No,15,1M+ (metropolis),Male,76000
Canada,Microsoft SQL Server,6,Full time employee,No,4,1M+ (metropolis),Female,92000
United States,Oracle,1,Full time employee,No,2,300K-1M (large city),Male,79063
Canada,Microsoft SQL Server,4,Full time employee,No,5,1M+ (metropolis),Male,75000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,No,5,100K-299K (city),Male,85000
United States,Oracle,3,Full time employee,No,6,1M+ (metropolis),Male,95000
United States,Microsoft SQL Server,20,Full time employee,No,3,1M+ (metropolis),Male,145000
Belgium,Microsoft SQL Server,4,Full time employee,Yes,40,300K-1M (large city),Female,57.6
Belgium,Microsoft SQL Server,4,Full time employee,Yes,40,300K-1M (large city),Female,57.6
United States,Other,1,Full time employee,No,4,1M+ (metropolis),Male,110000
United States,MySQL/MariaDB,1,Part time,No,2,100K-299K (city),Male,30000
United States,Microsoft SQL Server,3,Full time employee,No,3,300K-1M (large city),Male,65000
United States,Microsoft SQL Server,8,Full time employee,No,30,1M+ (metropolis),Male,80000
United States,Microsoft SQL Server,10,Full time employee,Yes,5,1M+ (metropolis),Male,103000
United States,Microsoft SQL Server,4,Full time employee,No,1,300K-1M (large city),Female,78000
United States,Microsoft SQL Server,4,Full time employee,No,15,300K-1M (large city),Female,67017
United States,Microsoft SQL Server,4,Full time employee,No,1,300K-1M (large city),Female,78000
United States,Microsoft SQL Server,15,Full time employee,No,7,300K-1M (large city),Male,81000
United States,Microsoft SQL Server,1,Full time employee,No,7,300K-1M (large city),Male,71000
United States,Microsoft SQL Server,17,Full time employee,No,30,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,2,Full time employee,No,9,1M+ (metropolis),Male,52000
United States,Microsoft SQL Server,17,Full time employee,No,30,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,20,Full time employee,No,6,1M+ (metropolis),Male,87600
United States,Other,6,Full time employee,No,65,1M+ (metropolis),Male,144000
United States,Microsoft SQL Server,2,Full time employee,No,4,"<= 20,000 (town)",Male,60000
United Kingdom,Microsoft SQL Server,5,Full time employee,Yes,7,100K-299K (city),Male,45000
Austria,Microsoft SQL Server,8,Full time employee,No,50,20K-99K (large town),Male,72000
United Kingdom,PostgreSQL,13,Full time employee,Yes,10,1M+ (metropolis),Male,146000
United States,Microsoft SQL Server,6,Full time employee,Yes,2,1M+ (metropolis),Male,90000
United States,Oracle,2,Full time employee,No,5,100K-299K (city),Male,51700
United States,Other,1,Full time employee,No,1,20K-99K (large town),Male,57000
United States,Microsoft SQL Server,10,Full time employee,No,2,1M+ (metropolis),Male,97700
United States,Other,0,Full time employee,No,1,300K-1M (large city),Male,115000
United States,Microsoft SQL Server,4,Full time employee,No,4,300K-1M (large city),Male,77040
United States,Microsoft SQL Server,1,Full time employee,No,4,100K-299K (city),Male,45000
United States,PostgreSQL,3,Full time employee,No,1,1M+ (metropolis),Male,155000
United States,Microsoft SQL Server,5,Full time employee,No,3,1M+ (metropolis),Female,52000
United Kingdom,Microsoft SQL Server,7,Full time employee,No,9,"<= 20,000 (town)",Male,52500
United Kingdom,Microsoft SQL Server,5,Full time employee,No,10,100K-299K (city),Male,80000
United States,Microsoft SQL Server,11,Full time employee,Yes,150,100K-299K (city),Male,160000
United States,Other,4,Full time employee of a consulting/contracting company,No,40,1M+ (metropolis),Male,135500
United States,Microsoft SQL Server,4,Full time employee,No,2,1M+ (metropolis),Male,90000
United States,Microsoft SQL Server,7,Full time employee,No,20,300K-1M (large city),Male,95000
United States,Oracle,6,Full time employee,No,12,100K-299K (city),Male,88000
United States,Microsoft SQL Server,1,Full time employee,No,2,300K-1M (large city),Female,60000
United States,Oracle,2,Full time employee,No,4,1M+ (metropolis),Male,83000
United States,Microsoft SQL Server,4,Full time employee,No,42,100K-299K (city),Male,91000
Canada,Microsoft SQL Server,20,Full time employee,No,20,1M+ (metropolis),Male,71000
United States,Microsoft SQL Server,2,Full time employee,No,2,100K-299K (city),Male,85000
United States,Microsoft SQL Server,6,Full time employee,No,4,300K-1M (large city),Male,85000
United States,PostgreSQL,2,Full time employee,No,5,100K-299K (city),Male,100000
United States,Microsoft SQL Server,2,Full time employee,No,2,300K-1M (large city),Male,75000
United States,Oracle,5,Full time employee,No,3,100K-299K (city),Male,68000
United States,Microsoft SQL Server,8,Full time employee,No,12,1M+ (metropolis),Male,132500
United States,Oracle,5,Full time employee,No,3,100K-299K (city),Male,68000
United States,Microsoft SQL Server,3,Full time employee,No,10,100K-299K (city),Male,49000
United States,Microsoft SQL Server,6,Full time employee,Yes,5,"<= 20,000 (town)",Male,83000
United States,Microsoft SQL Server,10,Full time employee,Yes,3,300K-1M (large city),Male,112000
United States,Microsoft SQL Server,5,Full time employee,No,6,100K-299K (city),Female,72000
Denmark,Microsoft SQL Server,5,Full time employee,No,22,1M+ (metropolis),Male,81000
United States,Oracle,2,Full time employee,No,3,1M+ (metropolis),Male,72000
United States,Microsoft SQL Server,8,Full time employee,No,300,300K-1M (large city),Female,129000
United States,PostgreSQL,5,Full time employee,No,3,300K-1M (large city),Male,87600
United States,PostgreSQL,4,"Independent consultant, contractor, freelancer,  or company owner",No,2,300K-1M (large city),Male,140000
United States,Microsoft SQL Server,3,Full time employee,No,1,1M+ (metropolis),Male,57000
United States,Microsoft SQL Server,5,Full time employee,No,3,300K-1M (large city),Male,81000
Sweden,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,No,50,100K-299K (city),Male,66000
United Kingdom,Microsoft SQL Server,15,Full time employee,No,6,100K-299K (city),Male,66000
United States,Microsoft SQL Server,12,Full time employee,No,4,1M+ (metropolis),Male,117000
United States,Microsoft SQL Server,6,Full time employee,No,6,1M+ (metropolis),Female,99000
United States,Microsoft SQL Server,7,Full time employee,No,35,100K-299K (city),Male,87000
United States,Microsoft SQL Server,11,Full time employee,No,80,300K-1M (large city),Male,150000
United States,Microsoft SQL Server,19,Full time employee,No,2,300K-1M (large city),Male,94000
United States,Oracle,15,Full time employee,Yes,2,1M+ (metropolis),Male,90000
United States,Oracle,15,Full time employee,Yes,2,1M+ (metropolis),Male,90000
Canada,Microsoft SQL Server,4,Full time employee,No,15,300K-1M (large city),Male,50000
Turkey,MySQL/MariaDB,1,Full time employee,No,3,1M+ (metropolis),Male,17000
United States,Microsoft SQL Server,15,Full time employee,No,1,300K-1M (large city),Male,98000
United States,Microsoft SQL Server,20,Full time employee,No,135,300K-1M (large city),Male,140000
United States,Microsoft SQL Server,1,Full time employee,No,7,1M+ (metropolis),Male,95000
United States,Oracle,5,Full time employee,Yes,10,300K-1M (large city),Male,207000
Canada,Oracle,3,Full time employee,No,2,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,20,Full time employee,No,8,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,3,Full time employee,No,6,1M+ (metropolis),Male,67000
India,MySQL/MariaDB,1,Full time employee,No,1,1M+ (metropolis),Male,9000
United States,Oracle,2,Full time employee,No,1,100K-299K (city),Female,90000
Canada,Microsoft SQL Server,1,Full time employee,No,3,100K-299K (city),Male,45000
Ireland,Microsoft SQL Server,15,Full time employee,Yes,3,100K-299K (city),Male,80000
United States,Microsoft SQL Server,10,Full time employee,No,50,1M+ (metropolis),Male,115500
United States,Microsoft SQL Server,8,Full time employee,No,4,1M+ (metropolis),Male,123000
United States,Microsoft SQL Server,3,Full time employee,No,45,1M+ (metropolis),Male,85000
United States,MySQL/MariaDB,1,Full time employee,No,1,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,4,Full time employee,No,3,1M+ (metropolis),Male,80000
United States,Microsoft SQL Server,4,Full time employee,No,6,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,4,Full time employee,No,4,300K-1M (large city),Female,65000
United Kingdom,Oracle,5,Full time employee,No,2500,1M+ (metropolis),Male,81500
United States,Microsoft SQL Server,2,Full time employee,No,2,300K-1M (large city),Male,64000
United States,Amazon RDS (any flavor),1,Full time employee,Yes,3,300K-1M (large city),Male,107500
United States,Other,6,Full time employee,No,192,300K-1M (large city),Male,75000
United States,Microsoft SQL Server,1,Full time employee,No,3,300K-1M (large city),Male,60000
United States,Amazon RDS (any flavor),5,Full time employee,No,3,1M+ (metropolis),Male,65000
United States,Microsoft SQL Server,19,Full time employee,No,3,1M+ (metropolis),Male,80000
United States,SQLite,12,Full time employee,Yes,50,1M+ (metropolis),Male,165000
United States,Microsoft SQL Server,4,Full time employee,No,8,300K-1M (large city),Male,72500
United States,Microsoft SQL Server,3,Full time employee,No,3,100K-299K (city),Male,61000
United States,Microsoft SQL Server,3,Full time employee,Yes,10,1M+ (metropolis),Male,122000
United States,Microsoft SQL Server,9,Full time employee,Yes,25,1M+ (metropolis),Male,113000
United States,Microsoft SQL Server,6,Full time employee,No,8,1M+ (metropolis),Male,70000
United Kingdom,Microsoft SQL Server,11,Full time employee,No,50,300K-1M (large city),Male,65672
United States,Microsoft SQL Server,2,Full time employee,No,1,100K-299K (city),Male,55000
United States,Other,3,Full time employee,Yes,3,1M+ (metropolis),Male,105000
United States,Oracle,5,Full time employee,No,1500,100K-299K (city),Male,83500
Germany,Microsoft SQL Server,2,Full time employee,Yes,10,100K-299K (city),Male,28800
United States,Microsoft SQL Server,12,Full time employee,No,50,1M+ (metropolis),Male,150000
Germany,Microsoft SQL Server,5,Full time employee,No,5,300K-1M (large city),Male,55000
United States,Microsoft SQL Server,3,Full time employee,Yes,3,20K-99K (large town),Male,46820
United States,Microsoft SQL Server,6,Full time employee,No,6,1M+ (metropolis),Male,115000
United States,Microsoft SQL Server,10,Full time employee,Yes,1,20K-99K (large town),Male,155000
United States,Microsoft SQL Server,6,Full time employee,No,6,1M+ (metropolis),Male,115000
United States,Oracle,11,Full time employee of a consulting/contracting company,Yes,20,300K-1M (large city),Male,110000
United States,Microsoft SQL Server,10,Full time employee,No,8,1M+ (metropolis),Male,127000
Spain,Microsoft SQL Server,1,Full time employee,Yes,3,1M+ (metropolis),Female,33000
United Kingdom,Microsoft SQL Server,5,Full time employee,No,100,100K-299K (city),Male,34132
United States,MySQL/MariaDB,2,Full time employee,No,3,1M+ (metropolis),Male,80000
United States,Oracle,5,Full time employee,Yes,2,1M+ (metropolis),Male,135000
United States,Microsoft SQL Server,4,Full time employee,No,3,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,1,Full time employee,Yes,5,300K-1M (large city),Male,60000
United States,Microsoft SQL Server,2,Full time employee,No,3,1M+ (metropolis),Male,92500
United States,Microsoft SQL Server,2,Full time employee,No,3,1M+ (metropolis),Male,92500
United States,Oracle,7,Full time employee,No,5,1M+ (metropolis),Male,110000
United States,Microsoft SQL Server,2,Full time employee,No,3,1M+ (metropolis),Male,92500
United States,Microsoft SQL Server,9,Full time employee of a consulting/contracting company,No,10000,100K-299K (city),Male,167000
United States,Microsoft SQL Server,6,Full time employee,No,7,1M+ (metropolis),Male,90000
United Kingdom,Microsoft SQL Server,15,Full time employee,No,300,20K-99K (large town),Male,72165
United States,Microsoft SQL Server,20,Full time employee,No,300,300K-1M (large city),Male,150000
Saudi Arabia,Microsoft SQL Server,8,Full time employee,No,5,1M+ (metropolis),Male,32000
United States,Microsoft SQL Server,15,Full time employee,No,100,1M+ (metropolis),Male,108000
United States,Microsoft SQL Server,5,Full time employee,No,2,1M+ (metropolis),Male,125000
United States,Microsoft SQL Server,25,Full time employee,No,30,100K-299K (city),Male,110000
Australia,Microsoft SQL Server,2,Full time employee,No,10,1M+ (metropolis),Male,76000
United States,Microsoft SQL Server,20,Full time employee,Yes,80,20K-99K (large town),Female,122000
United States,Microsoft SQL Server,20,Full time employee,No,4,1M+ (metropolis),Male,106956
Russia,PostgreSQL,3,Full time employee,No,3,1M+ (metropolis),Male,100000
Russia,MySQL/MariaDB,1,Full time employee,No,3,1M+ (metropolis),Male,46000
